cause_id,acause,cause_name,cause_medium,cause_short,cause_description,cause_id_2010_gbd_round,start_date,end_date,date_inserted,inserted_by,last_updated,last_updated_by,last_updated_action
20,intest_typhoid20,"Typhoid and paratyphoid fevers","Typhoid fevers",Typhoid,NULL,20,"2010-01-01 00:00:00","2010-12-31 23:59:59","2014-09-19 17:05:26",unknown,"2016-05-20 10:39:41",elissat,DELETE
187,_behav,"Childhood behavioral disorders","Childhood behavorial disorders","Child Behav",NULL,187,"2010-01-01 00:00:00","2010-12-31 23:59:59","2014-09-19 17:05:26",unknown,"2016-05-20 10:39:41",elissat,DELETE
233,cong_chromo233,"Other chromosomal abnormalities","Other chromosomal anomalies","Oth Chromo",NULL,233,"2010-01-01 00:00:00","2010-12-31 23:59:59","2014-09-19 17:05:26",unknown,"2016-05-20 10:39:41",elissat,DELETE
258,oral_permcaries258,"Dental caries","Dental caries","D Caries",NULL,258,"2010-01-01 00:00:00","2010-12-31 23:59:59","2014-09-19 17:05:26",unknown,"2016-05-20 10:39:41",elissat,DELETE
294,_all,"All causes","All causes","All causes",NULL,1,"2013-01-01 00:00:00",NULL,"2013-01-01 00:00:00",unknown,"2017-11-02 12:11:45",elissat,UPDATE
295,_comm,"Communicable, maternal, neonatal, and nutritional diseases","Group I","Group I",NULL,2,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2017-11-02 12:11:59",elissat,UPDATE
296,_hivtb,"HIV/AIDS and tuberculosis","HIV/AIDS & tuberculosis",HIV+TB,NULL,3,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
297,tb,Tuberculosis,Tuberculosis,TB,NULL,4,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2017-06-06 10:51:28",elissat,UPDATE
298,hiv,HIV/AIDS,HIV/AIDS,HIV,NULL,5,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
299,hiv_tb,"HIV/AIDS - Tuberculosis","HIV/AIDS - TB","HIV - TB",NULL,6,"2010-01-01 00:00:00",NULL,"2010-01-01 00:00:00",unknown,"2016-05-20 10:39:41",elissat,UPDATE
